site.name,site.id,dataset.id,age,tave_mat,tave_wa,tave_wapls,tave,lat,long
Jay Lake,10430,15922,2500,4.301,3.490026537,5.308209598,4.366412045,46.23435,-89.28155
Jay Lake,10430,15922,3500,4.868,3.748157564,4.948375949,4.521511171,46.23435,-89.28155
Jay Lake,10430,15922,4500,4.7115,3.544740323,4.872632517,4.376290947,46.23435,-89.28155
Jay Lake,10430,15922,5500,5.099,3.792834472,5.107814523,4.666549665,46.23435,-89.28155
Jay Lake,10430,15922,6500,5.053333333,4.054120693,5.429710641,4.845721556,46.23435,-89.28155
Jay Lake,10430,15922,7500,4.904,3.333077579,4.771730961,4.336269513,46.23435,-89.28155
Jay Lake,10430,15922,8500,4.169333333,2.481866476,3.829446607,3.493548805,46.23435,-89.28155
Jay Lake,10430,15922,9500,3.797333333,2.494968178,3.865819932,3.386040481,46.23435,-89.28155
Jay Lake,10430,15922,10500,3.158,2.457903248,3.613996213,3.076633154,46.23435,-89.28155
Lake O' Pines,10431,15925,500,3.9465,2.472921547,3.893010346,3.437477298,46.140435,-89.2553
Lake O' Pines,10431,15925,1500,3.635,3.137735148,4.835591922,3.869442357,46.140435,-89.2553
Lake O' Pines,10431,15925,2500,4.130666667,3.20215163,4.988216079,4.107011458,46.140435,-89.2553
Lake O' Pines,10431,15925,3500,4.2044,2.990977651,4.626222393,3.940533348,46.140435,-89.2553
Lake O' Pines,10431,15925,4500,4.6,3.286666461,4.757167434,4.214611298,46.140435,-89.2553
Lake O' Pines,10431,15925,5500,4.6555,3.340210872,4.681367465,4.225692779,46.140435,-89.2553
Lake O' Pines,10431,15925,6500,4.69,2.92605723,3.923749455,3.846602229,46.140435,-89.2553
Lake O' Pines,10431,15925,7500,4.418,3.588006232,4.532174563,4.179393598,46.140435,-89.2553
Lake O' Pines,10431,15925,8500,4.395,2.967583711,4.368875731,3.91048648,46.140435,-89.2553
Lake O' Pines,10431,15925,9500,4.353,2.987684538,4.183251366,3.841311968,46.140435,-89.2553
Lake O' Pines,10431,15925,10500,3.511,3.390654376,4.864683323,3.922112566,46.140435,-89.2553
Lake O' Pines,10431,15925,11500,-1.224,1.1571547,1.702627778,0.545260826,46.140435,-89.2553
Lake O' Pines,10431,15925,12500,-2.044,-0.839760765,-1.27493588,-1.386232215,46.140435,-89.2553
Twiss Marl Pond,10505,16127,5500,5.538,3.13928143,3.865734066,4.181005166,43.44083,-79.95551
Twiss Marl Pond,10505,16127,6500,6.230666667,8.018240231,9.025234752,7.758047216,43.44083,-79.95551
Twiss Marl Pond,10505,16127,7500,5.686,5.123280802,6.243003569,5.68409479,43.44083,-79.95551
Twiss Marl Pond,10505,16127,8500,5.558,5.110597647,6.312066659,5.660221435,43.44083,-79.95551
Twiss Marl Pond,10505,16127,9500,5.1,3.533262954,4.822781331,4.485348095,43.44083,-79.95551
Twiss Marl Pond,10505,16127,10500,1.9154,1.549851387,2.818318496,2.094523294,43.44083,-79.95551
Twiss Marl Pond,10505,16127,11500,-3.476666667,-4.534624742,-3.59014931,-3.867146906,43.44083,-79.95551
Twiss Marl Pond,10505,16127,12500,-2.017090909,-2.630096186,-3.006666629,-2.551284575,43.44083,-79.95551
Twiss Marl Pond,10505,16127,13500,-1.823,-1.771265418,-1.352496399,-1.648920606,43.44083,-79.95551
Silver Lake,2303,17717,8500,8.66,12.73094565,13.03010273,11.47368279,40.354335,-83.812515
Silver Lake,2303,17717,9500,8.794666667,12.3746015,12.8834088,11.35089232,40.354335,-83.812515
Silver Lake,2303,17717,10500,7.875428571,10.7209027,11.45914233,10.0184912,40.354335,-83.812515
Silver Lake,2303,17717,11500,2.9005,3.725933042,5.171673318,3.93270212,40.354335,-83.812515
Silver Lake,2303,17717,12500,4.467,4.033137162,5.310272024,4.603469729,40.354335,-83.812515
